Date,Currency,Exchange Rate,Normalized Price
2019-09-18,XAU,271319.3661,0.09862894242117462
2019-09-19,XAU,269736.0644,0.09675749709082934
2019-09-20,XAU,271873.2472,0.09928362383670111
2019-09-21,XAU,272882.7698333333,0.10047686857207247
2019-09-22,XAU,273892.29246666667,0.10167011330744383
2019-09-23,XAU,274901.8151,0.10286335804281518
2019-09-24,XAU,275641.1185,0.10373720659337152
2019-09-25,XAU,277597.845,0.10605003596201792
2019-09-26,XAU,273936.2408,0.10172205975782231
2019-09-27,XAU,273560.6405,0.10127810430226294
2019-09-28,XAU,272939.24296666664,0.10054361919936392
2019-09-29,XAU,272317.84543333336,0.09980913409646494
2019-09-30,XAU,271696.4479,0.09907464899356586
2019-10-01,XAU,267054.5853,0.09358801805842923
2019-10-02,XAU,269484.9985,0.09646073993698814
2019-10-03,XAU,273311.4469,0.10098356018658874
2019-10-04,XAU,274065.4032,0.10187472830503355
2019-10-05,XAU,273864.6272,0.10163741326416328
2019-10-06,XAU,273663.85120000003,0.10140009822329313
2019-10-07,XAU,273463.0752,0.10116278318242292
2019-10-08,XAU,270206.0677,0.09731303586213988
2019-10-09,XAU,271913.7791,0.09933153210016407
2019-10-10,XAU,272217.8672,0.09969096091575783
2019-10-11,XAU,270174.4692,0.09727568677998397
2019-10-12,XAU,269624.6446333333,0.09662580014258723
2019-10-13,XAU,269074.8200666667,0.09597591350519061
2019-10-14,XAU,268524.9955,0.09532602686779393
2019-10-15,XAU,270048.5209,0.09712681726389619
2019-10-16,XAU,269434.2622,0.09640077018408885
2019-10-17,XAU,270722.761,0.09792376170390818
2019-10-18,XAU,271567.8941,0.09892269980491267
2019-10-19,XAU,271433.1678333333,0.09876345482802154
2019-10-20,XAU,271298.44156666665,0.09860420985113041
2019-10-21,XAU,271163.7153,0.09844496487423929
2019-10-22,XAU,269823.0048,0.09686025969482223
2019-10-23,XAU,270374.3397,0.09751193152973617
2019-10-24,XAU,270982.3636,0.09823060914398576
2019-10-25,XAU,272165.9916,0.0996296445226921
2019-10-26,XAU,272381.83613333333,0.09988477040551483
2019-10-27,XAU,272597.68066666665,0.10013989628833755
2019-10-28,XAU,272813.5252,0.10039502217116028
2019-10-29,XAU,270803.5539,0.09801925802999059
2019-10-30,XAU,270325.3523,0.09745402895755065
2019-10-31,XAU,272056.6079,0.0995003541830298
2019-11-01,XAU,273912.5679,0.10169407864837185
2019-11-02,XAU,274035.8422,0.1018397875256418
2019-11-03,XAU,274159.1165,0.10198549640291169
2019-11-04,XAU,274282.3908,0.10213120528018163
2019-11-05,XAU,272275.926,0.09975958578374441
2019-11-06,XAU,267562.8302,0.09418875798359758
2019-11-07,XAU,269131.4158,0.09604280904434412
2019-11-08,XAU,265685.0772,0.0919692744300892
2019-11-09,XAU,265233.0002,0.09143492434974346
2019-11-10,XAU,264780.9232,0.09090057426939777
2019-11-11,XAU,264328.84619999997,0.09036622418905202
2019-11-12,XAU,263876.7692,0.08983187410870633
2019-11-13,XAU,263424.6922,0.08929752402836064
2019-11-14,XAU,263474.0231,0.08935583261379745
2019-11-15,XAU,264613.2172,0.09070234760762455
2019-11-16,XAU,264482.1618,0.09054744155507213
2019-11-17,XAU,264351.1064,0.09039253550251966
2019-11-18,XAU,264220.051,0.09023762944996724
2019-11-19,XAU,264345.7,0.09038614519672142
2019-11-20,XAU,264174.0769,0.09018328856549665
2019-11-21,XAU,263770.9752,0.08970682675526856
2019-11-22,XAU,262809.4493,0.08857031363489418
2019-11-23,XAU,262862.99906666664,0.08863360887468921
2019-11-24,XAU,262916.54883333336,0.08869690411448436
2019-11-25,XAU,262970.0986,0.0887601993542794
2019-11-26,XAU,262403.2305,0.08809016744648399
2019-11-27,XAU,264422.626,0.09047707088920445
2019-11-28,XAU,263737.0006,0.08966666914884378
2019-11-29,XAU,262883.546,0.08865789512565428
2019-11-30,XAU,263279.3702333333,0.08912575504970358
2019-12-01,XAU,263675.19446666667,0.08959361497375293
2019-12-02,XAU,264071.0187,0.09006147489780228
2019-12-03,XAU,264671.0123,0.09077066078508897
2019-12-04,XAU,268153.9337,0.09488743586970458
2019-12-05,XAU,267590.5591,0.09422153324078361
2019-12-06,XAU,267559.7283,0.09418509157164953
2019-12-07,XAU,266623.39546666667,0.09307835638113551
2019-12-08,XAU,265687.0626333333,0.09197162119062155
2019-12-09,XAU,264750.7298,0.09086488600010753
2019-12-10,XAU,264882.3865,0.09102050278269783
2019-12-11,XAU,266060.7912,0.09241336427780758
2019-12-12,XAU,267239.1959,0.09380622577291745
2019-12-13,XAU,265628.9051,0.0919028796209124
2019-12-14,XAU,266101.3907,0.09246135244373285
2019-12-15,XAU,266573.8763,0.09301982526655331
2019-12-16,XAU,267046.3619,0.09357829808937376
2019-12-17,XAU,267515.0192,0.09413224590337352
2019-12-18,XAU,267338.9958,0.0939241881655706
2019-12-19,XAU,267765.3807,0.0944281704641021
2019-12-20,XAU,268032.2004,0.09474354843761726
2019-12-21,XAU,268154.85819999996,0.09488852861861521
2019-12-22,XAU,268277.516,0.09503350879961323
2019-12-23,XAU,268400.1738,0.09517848898061124
2019-12-24,XAU,269930.9028,0.0969877939532984
2019-12-25,XAU,271330.4133,0.09864200009101318
2019-12-26,XAU,272729.9238,0.1002962062287279
2019-12-27,XAU,274215.5706,0.10205222453301085
2019-12-28,XAU,274397.78456666664,0.10226759945305422
2019-12-29,XAU,274579.99853333336,0.10248297437309764
2019-12-30,XAU,274762.2125,0.102698349293141
2019-12-31,XAU,276404.2458,0.1046392147337303
2020-01-01,XAU,275390.7115,0.1034412282521395
2020-01-02,XAU,275110.7588,0.10311032721594884
2020-01-03,XAU,279285.1269,0.10804438475399555
2020-01-04,XAU,281512.8892,0.11067757548034554
2020-01-05,XAU,283740.6515,0.11331076620669558
2020-01-06,XAU,285968.4138,0.11594395693304563
2020-01-07,XAU,282549.3199,0.11190262525686098
2020-01-08,XAU,288445.4997,0.11887184543365106
2020-01-09,XAU,282927.7036,0.1123498706608442
2020-01-10,XAU,282809.75935,0.11221046184450581
2020-01-11,XAU,282691.8151,0.11207105302816742
2020-01-12,XAU,282573.87085,0.11193164421182897
2020-01-13,XAU,282455.9266,0.11179223539549057
2020-01-14,XAU,278953.6886,0.10765262830048286
2020-01-15,XAU,280802.36840000004,0.10983774764887597
2020-01-16,XAU,282651.0482,0.11202286699726902
2020-01-17,XAU,281879.7732,0.11111122836442852
2020-01-18,XAU,282076.9978333333,0.1113443457286559
2020-01-19,XAU,282274.22246666666,0.11157746309288327
2020-01-20,XAU,282471.4471,0.11181058045711065
2020-01-21,XAU,284043.1878,0.11366836081162465
2020-01-22,XAU,281621.3899,0.11080582212364434
2020-01-23,XAU,282569.6127,0.11192661112499949
2020-01-24,XAU,283295.7799,0.11278493283051519
2020-01-25,XAU,284536.34513333335,0.11425126739764815
2020-01-26,XAU,285776.9103666667,0.11571760196478106
2020-01-27,XAU,287017.4756,0.11718393653191397
2020-01-28,XAU,287135.6522,0.1173236199834167
2020-01-29,XAU,284197.885,0.11385121121376687
2020-01-30,XAU,286848.7107,0.11698445826189688
2020-01-31,XAU,285448.1717,0.11532903644840645
2020-02-01,XAU,286017.80683333334,0.1160023389594044
2020-02-02,XAU,286587.44196666667,0.1166756414704023
2020-02-03,XAU,287157.0771,0.1173489439814002
2020-02-04,XAU,284679.06795,0.11441996420937042
2020-02-05,XAU,282201.0588,0.1114909844373407
2020-02-06,XAU,282094.5692,0.1113651148922942
2020-02-07,XAU,284043.1621,0.11366833043450511
2020-02-08,XAU,284299.2547,0.11397102909288839
